relative_path,name,fileId,mimeType,shareUrl,downloadUrl,exportUrl
g10/first semester/cs g10/first semester/Revision/Numeric Systems Conversions1.docx,Numeric Systems Conversions1.docx,1t9fhCgcKjV2ggOlfg_E0kjNn-JcARIbv,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1t9fhCgcKjV2ggOlfg_E0kjNn-JcARIbv/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1t9fhCgcKjV2ggOlfg_E0kjNn-JcARIbv,https://drive.google.com/uc?export=download&id=1t9fhCgcKjV2ggOlfg_E0kjNn-JcARIbv
g10/first semester/cs g10/first semester/Revision/sketchup-mcq2.docx,sketchup-mcq2.docx,1-C8KpBmY4TFvjUuD04oeWKqBXH2A_4sQ,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1-C8KpBmY4TFvjUuD04oeWKqBXH2A_4sQ/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1-C8KpBmY4TFvjUuD04oeWKqBXH2A_4sQ,https://drive.google.com/uc?export=download&id=1-C8KpBmY4TFvjUuD04oeWKqBXH2A_4sQ
g10/first semester/cs g10/first semester/Revision/SketchUp-mcq1.docx,SketchUp-mcq1.docx,184JJyxID6xgTs-FKaxkTolUNfxeCjVLD,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/184JJyxID6xgTs-FKaxkTolUNfxeCjVLD/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=184JJyxID6xgTs-FKaxkTolUNfxeCjVLD,https://drive.google.com/uc?export=download&id=184JJyxID6xgTs-FKaxkTolUNfxeCjVLD
g10/first semester/cs g10/first semester/Revision/Numeric System Mcq2.docx,Numeric System Mcq2.docx,1J1PO8lc7lVD0AsKdt3GVVTGCi6vOXqvf,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1J1PO8lc7lVD0AsKdt3GVVTGCi6vOXqvf/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1J1PO8lc7lVD0AsKdt3GVVTGCi6vOXqvf,https://drive.google.com/uc?export=download&id=1J1PO8lc7lVD0AsKdt3GVVTGCi6vOXqvf
g10/first semester/cs g10/first semester/Revision/Sketchup-Revision1.pdf,Sketchup-Revision1.pdf,1lGaVhzLB2ZJXrwLJ6paDPX-YBCsFtSw6,application/pdf,https://drive.google.com/file/d/1lGaVhzLB2ZJXrwLJ6paDPX-YBCsFtSw6/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1lGaVhzLB2ZJXrwLJ6paDPX-YBCsFtSw6,https://drive.google.com/uc?export=download&id=1lGaVhzLB2ZJXrwLJ6paDPX-YBCsFtSw6
g10/first semester/cs g10/first semester/Revision/Sketchup-Revision1.docx,Sketchup-Revision1.docx,16kro9KpzhWdS7HlYQqnqQWV8QboNv_cm,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/16kro9KpzhWdS7HlYQqnqQWV8QboNv_cm/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=16kro9KpzhWdS7HlYQqnqQWV8QboNv_cm,https://drive.google.com/uc?export=download&id=16kro9KpzhWdS7HlYQqnqQWV8QboNv_cm
g10/first semester/cs g10/first semester/Revision/Flowcharts-Revision1.pdf,Flowcharts-Revision1.pdf,1JB5HNVpoJJwIUC3N6JnqJguWZJKGsY2h,application/pdf,https://drive.google.com/file/d/1JB5HNVpoJJwIUC3N6JnqJguWZJKGsY2h/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1JB5HNVpoJJwIUC3N6JnqJguWZJKGsY2h,https://drive.google.com/uc?export=download&id=1JB5HNVpoJJwIUC3N6JnqJguWZJKGsY2h
g10/first semester/cs g10/first semester/Revision/Flowcharts-Revision1.docx,Flowcharts-Revision1.docx,1ReK90krbloGUYfzntEMCP2Fb0wNu0N7X,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1ReK90krbloGUYfzntEMCP2Fb0wNu0N7X/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1ReK90krbloGUYfzntEMCP2Fb0wNu0N7X,https://drive.google.com/uc?export=download&id=1ReK90krbloGUYfzntEMCP2Fb0wNu0N7X
g10/first semester/cs g10/first semester/Revision/HTML Revision1.pdf,HTML Revision1.pdf,1xtLmgN6N0uDS_zO109gwMLyyi4NfV4MB,application/pdf,https://drive.google.com/file/d/1xtLmgN6N0uDS_zO109gwMLyyi4NfV4MB/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1xtLmgN6N0uDS_zO109gwMLyyi4NfV4MB,https://drive.google.com/uc?export=download&id=1xtLmgN6N0uDS_zO109gwMLyyi4NfV4MB
g10/first semester/cs g10/first semester/Revision/HTML Revision1.docx,HTML Revision1.docx,1BiTEWSwIVh0udgmxa-gTKUsX938AvRic,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1BiTEWSwIVh0udgmxa-gTKUsX938AvRic/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1BiTEWSwIVh0udgmxa-gTKUsX938AvRic,https://drive.google.com/uc?export=download&id=1BiTEWSwIVh0udgmxa-gTKUsX938AvRic
g10/first semester/cs g10/first semester/Revision/CSS-Revision1.pdf,CSS-Revision1.pdf,10Vt1P3T8GieGABAJn2c_xtO7esQn8-SD,application/pdf,https://drive.google.com/file/d/10Vt1P3T8GieGABAJn2c_xtO7esQn8-SD/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=10Vt1P3T8GieGABAJn2c_xtO7esQn8-SD,https://drive.google.com/uc?export=download&id=10Vt1P3T8GieGABAJn2c_xtO7esQn8-SD
g10/first semester/cs g10/first semester/Revision/CSS-Revision1.docx,CSS-Revision1.docx,1E2Ny1d94kWGZx7Gwv3gnoyTX3Z_LbR2P,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1E2Ny1d94kWGZx7Gwv3gnoyTX3Z_LbR2P/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1E2Ny1d94kWGZx7Gwv3gnoyTX3Z_LbR2P,https://drive.google.com/uc?export=download&id=1E2Ny1d94kWGZx7Gwv3gnoyTX3Z_LbR2P
g10/first semester/cs g10/first semester/Revision/Numeric-Systems-Revision1.pdf,Numeric-Systems-Revision1.pdf,1KN8bRV9XpbQfDL3BvgWlXbeIj3T0UZ2j,application/pdf,https://drive.google.com/file/d/1KN8bRV9XpbQfDL3BvgWlXbeIj3T0UZ2j/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1KN8bRV9XpbQfDL3BvgWlXbeIj3T0UZ2j,https://drive.google.com/uc?export=download&id=1KN8bRV9XpbQfDL3BvgWlXbeIj3T0UZ2j
